date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:26	44029/44029	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:25%20GMT	http://web-rockstars.com/purple/?page_id=955	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexd81e.html	(from http://web-rockstars.com/purple/)
23:52:26	28962/28962	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:25%20GMT	http://web-rockstars.com/purple/?page_id=945	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index2f17.html	(from http://web-rockstars.com/purple/)
23:52:26	43321/43321	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:25%20GMT	http://web-rockstars.com/purple/?page_id=952	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index1f2f.html	(from http://web-rockstars.com/purple/)
23:52:29	43380/43380	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:28%20GMT	http://web-rockstars.com/purple/?page_id=3914	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexf512.html	(from http://web-rockstars.com/purple/)
23:52:29	47475/47475	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:28%20GMT	http://web-rockstars.com/purple/?page_id=3933	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexe16b.html	(from http://web-rockstars.com/purple/)
23:52:31	43984/43984	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:30%20GMT	http://web-rockstars.com/purple/?page_id=3923	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index2738.html	(from http://web-rockstars.com/purple/)
23:52:32	45762/45762	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:31%20GMT	http://web-rockstars.com/purple/?page_id=3931	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index8bbd.html	(from http://web-rockstars.com/purple/)
23:52:34	26760/26760	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:33%20GMT	http://web-rockstars.com/purple/?page_id=81	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexf2af.html	(from http://web-rockstars.com/purple/)
23:52:35	150459/150459	---M--	200	added ('OK')	image/jpeg	etag:%2224bbb-560a2924c5dc0%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/sl10.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/sl10.jpg	(from http://web-rockstars.com/purple/)
23:52:36	29849/29849	---M--	200	added ('OK')	image/jpeg	etag:%227499-560a291a48500%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/sl7.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/sl7.jpg	(from http://web-rockstars.com/purple/)
23:52:36	83221/83221	---M--	200	added ('OK')	image/jpeg	etag:%2214515-560a291860080%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/sl5.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/sl5.jpg	(from http://web-rockstars.com/purple/)
23:52:36	27824/27824	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:36%20GMT	http://web-rockstars.com/purple/?page_id=75	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index8a92.html	(from http://web-rockstars.com/purple/)
23:52:38	28842/28842	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:38%20GMT	http://web-rockstars.com/purple/?page_id=71	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexe527.html	(from http://web-rockstars.com/purple/)
23:52:39	26587/26587	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:38%20GMT	http://web-rockstars.com/purple/?page_id=64	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index8091.html	(from http://web-rockstars.com/purple/)
23:52:41	53077/53077	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:40%20GMT	http://web-rockstars.com/purple/?page_id=62	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index2f07.html	(from http://web-rockstars.com/purple/)
23:52:41	57973/57973	---M--	200	added ('OK')	image/jpeg	etag:%22e275-560a2f69ce880%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/sl14.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/sl14.jpg	(from http://web-rockstars.com/purple/)
23:52:42	20563/20563	---M--	200	added ('OK')	image/png	etag:%225053-560b0a49fcd00%22	http://web-rockstars.com/purple/wp-content/uploads/2014/05/ad_1.png	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2014/05/ad_1.png	(from http://web-rockstars.com/purple/)
23:52:43	48803/48803	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:42%20GMT	http://web-rockstars.com/purple/?page_id=61	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexcc8a.html	(from http://web-rockstars.com/purple/)
23:52:44	26667/26667	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:43%20GMT	http://web-rockstars.com/purple/?page_id=59	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexc4a7.html	(from http://web-rockstars.com/purple/)
23:52:46	27145/27145	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:45%20GMT	http://web-rockstars.com/purple/?page_id=60	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexe0eb.html	(from http://web-rockstars.com/purple/)
23:52:46	82767/82767	---M--	200	added ('OK')	image/jpeg	etag:%221434f-560afbfebd3c0%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/s9_bg.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/s9_bg.jpg	(from http://web-rockstars.com/purple/)
23:52:48	37441/37441	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:47%20GMT	http://web-rockstars.com/purple/?page_id=24	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index16e4.html	(from http://web-rockstars.com/purple/)
23:52:50	58678/58678	---M--	200	added ('OK')	image/jpeg	etag:%22e536-560afac5ef1c0%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/s8_bg.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/s8_bg.jpg	(from http://web-rockstars.com/purple/)
23:52:51	38468/38468	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:50%20GMT	http://web-rockstars.com/purple/?page_id=28	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexc583.html	(from http://web-rockstars.com/purple/)
23:52:53	36775/36775	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:52%20GMT	http://web-rockstars.com/purple/?page_id=18	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index1469.html	(from http://web-rockstars.com/purple/)
23:52:57	74569/74569	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:55%20GMT	http://web-rockstars.com/purple/?page_id=486	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index3ef7.html	(from http://web-rockstars.com/purple/)
23:52:57	102385/102385	---M--	200	added ('OK')	image/jpeg	etag:%2218ff1-56050a7989c40%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_053-600x400.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_053-600x400.jpg	(from http://web-rockstars.com/purple/)
23:53:00	31238/31238	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:22:59%20GMT	http://web-rockstars.com/purple/?portfolio=demo-portfolio	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index1321.html	(from http://web-rockstars.com/purple/)
23:53:03	31267/31267	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:23:02%20GMT	http://web-rockstars.com/purple/?portfolio=demo-company	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index4808.html	(from http://web-rockstars.com/purple/)
23:53:07	118267/118267	---M--	200	added ('OK')	image/jpeg	etag:%221cdfb-56050a70005c0%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_046-600x400.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_046-600x400.jpg	(from http://web-rockstars.com/purple/)
23:53:12	29887/29887	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:23:11%20GMT	http://web-rockstars.com/purple/?portfolio=consulting-company-x	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index20b7.html	(from http://web-rockstars.com/purple/)
23:53:15	64839/64839	---M--	200	added ('OK')	image/jpeg	etag:%22fd47-56050a6953600%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_045-600x400.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_045-600x400.jpg	(from http://web-rockstars.com/purple/)
23:53:18	31046/31046	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:23:17%20GMT	http://web-rockstars.com/purple/?page_id=100	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/index7e76.html	(from http://web-rockstars.com/purple/)
23:53:31	116381/116381	---M--	200	added ('OK')	image/jpeg	etag:%221c69d-56050a685f3c0%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_045.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_045.jpg	(from http://web-rockstars.com/purple/)
23:53:32	231418/231418	---M--	200	added ('OK')	image/jpeg	etag:%22387fa-56050a6f0c380%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_046.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_046.jpg	(from http://web-rockstars.com/purple/)
23:53:32	83665/83665	---M--	200	added ('OK')	image/jpeg	etag:%22146d1-56050a6582d00%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_030-600x400.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_030-600x400.jpg	(from http://web-rockstars.com/purple/)
23:53:34	337907/337907	---M--	200	added ('OK')	image/jpeg	etag:%22527f3-56050a77a17c0%22	http://web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_053.jpg	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/wp-content/uploads/2017/12/portfolio_053.jpg	(from http://web-rockstars.com/purple/)
23:53:36	33991/33991	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2018:23:35%20GMT	http://web-rockstars.com/purple/?page_id=175	C:/ZZZ%20u/Web/Purple/Purple/web-rockstars.com/purple/indexf5e9.html	(from http://web-rockstars.com/purple/)
